id,name,ref_count
21,special purpose artist,26
48,fixme,196
42,norwegian,281
100,meta artist,5
120,hebrew,40
212,francophone,684
185,seen live,67
214,français,655
368,belgian,98
533,conductor,105
532,orchestra,29
638,austrian,103
617,spain,152
745,nwobhm,9
993,folklore,50
1078,garage rock revival,15
1147,reggae rock,5
1174,post-industrial,15
1140,neo-psychedelia,16
1365,jazz pop,5
1343,popular,15
1600,european,411
1777,meditation,15
2216,frankfurt,18
2548,leipzig,5
2623,sexual,1
2496,basque,17
2828,hull,5
8491,berlin school,6
2680,harsh noise,6
2767,wu-tang,14
35578,birthday,1
3475,español,61
3752,80s thrash metal,1
3753,marty friedman,1
3755,90s hard rock,1
3756,dave mustaine,1
3819,candombe,2
3839,not as good as metallica,1
4175,beethoven,3
4280,american thrash metal,3
4283,stfu totally better than metallica,1
4422,michael jackson,8
4425,trikitixa,1
4665,pop and chart,530
4585,ultimate love songs greatest love of all disc 1,1
4664,jazz and blues,671
4669,easy listening soundtracks and musicals,195
4816,orthodox,8
4914,nederlands,5
26303,classique,5
5165,calypso,11
5909,celtique,14
5878,free improvisation,151
6076,alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house,1
6266,gratuitous heavy metal umlaut,7
6899,full of fail tags,1
7144,nox,1
7173,wireharp,1
7455,bareto,2
7473,archives,1
7796,sprechgesang,3
7860,mohsen namjoo,1
7879,frédéric chopin,1
7885,klaus baumgart,1
7918,mess,2
8110,ibiza,4
8217,best of,3
8310,von weber,1
8291,various artists,2
8361,healing sixes,1
8383,major label,1
8410,la grande sophie,1
21223,嫌われ松子の歌たち,1
21270,z103 5 street mix 2k7,1
21294,john coltrane,1
21581,binaural beats,5
21582,hemi-sync,6
21804,niroshima,1
21803,venezolana,3
21863,nitzer ebb,2
22043,bioshock soundtrack,1
22049,shankar jaikishan,1
22115,visions,1
22417,gérard palaprat,1
22562,it,1
22980,local music of iran,1
22988,mary j blige,1
23006,bravo hits,1
24629,fix your tags,1
24879,infantil,8
24916,razieq,1
25084,rhythm del mundo,1
25183,http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html,1
25310,dresch,1
25319,africa middle east,1
25354,montuno,1
25515,more 70,1
26163,backstreet boys,1
26364,80 s fresh new,1
26517,ussr ministry of culture chamber choir,1
26541,classwar karaoke,1
26701,josquin,1
26817,elc chritmas,1
26979,gospel religious,87
26952,futebol,1
27124,armin van buuren,1
4666,dance and electronica,861
27555,kinderliedjes kapiteinwinokio humo,1
27719,absolute reggae,1
27790,hot hits,1
28180,celtic spirit vol 7,1
28196,soul cargo,1
28239,the welcome committee,1
28541,es lebe der punk,1
28946,far from sundown,1
29010,mimicking birds,1
29105,liturgic,1
34768,tunguska chillout grooves,1
29564,miroque,1
30882,alirio diaz,1
31237,jucanto,1
31238,educacion,1
31239,liz,1
31240,liz andrade,1
31241,andrade,1
31283,old skool of rock disc 1,1
207,dutch,510
31307,vera kaa,1
104,japanese,707
31417,sunshine,1
1915,rapper,129
171,british,2262
8130,musica,5
1391,english,1334
206,electro,6767
15,classical,10467
1074,speed metal,270
156,ska,1945
150,hip-hop,9611
49,instrumental,1705
516,fusion,549
1290,eurovision,96
447,goth,202
479,greek,750
5948,ragga,58
2976,us,93
276,rockabilly,784
1772,choral,48
537,indie,4632
642,disco,3452
399,tango,154
68,melodic death metal,272
133,punk rock,2591
260,bluegrass,357
235,hip hop,3685
27,jungle,843
3771,drum n bass,749
11,electronic,59991
35826,foreign language,3
7,rock,65222
34625,andre powels,1
1371,latin,3127
41,80s,619
4695,alternative and punk,4997
34796,special purpose label,1
1753,england,1390
36128,sophisti-pop,1
29622,tejano,19
518,instrumental rock,333
712,blues rock,1033
72,french,1650
273,usa,2112
31003,10s,68
211,france,1000
159,pop-rock,55
562,funk rock,14
91,thrash metal,707
111,american,2199
748,américain,557
6411,unknown,254
665,eurodance,238
33801,die drei,1
1666,club,349
1587,drum bass,227
618,new age,1352
2397,ost,22
29,progressive rock,3633
1259,dark ambient,425
31943,contemporary reggae,1
30743,devotional,2
2143,japan,188
340,spanish,166
32,noise,2129
670,composer,366
5911,funk soul,1807
76,dance,2261
27040,various,8
43,heavy metal,3753
374,world,1702
1440,psychobilly,320
1887,california,253
452,welsh,98
32813,marilyn manson,1
69,german,1123
767,thrash,467
27127,classic metal,20
5244,british metal,3
37,70s,290
31452,zz unknown genre,314
1234,rhythm and blues,237
237,uk,3876
686,lounge,462
1122,garage rock,474
1164,rock and roll,847
1370,celtic rock,58
1121,blue-eyed soul,15
343,folk rock,2954
284,indie rock,4412
4663,classic pop and rock,2022
675,psytrance,106
2655,chill,57
1229,jam,45
781,jam band,19
61,90s,366
280,britannique,450
844,classic,54
1284,romantic,81
553,hiphop,242
5933,gangsta,484
402,dub,1737
504,power metal,181
35891,andrew york,1
10,trance,7010
88,punk,12974
34659,zero t 51,1
32608,smooth soul,3
4668,soul and reggae,589
25579,east coast rap,85
383,celtic,720
32165,1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822,1
197,new wave,2847
271,hard rock,5935
719,country rock,550
4662,rock and indie,2005
1281,progressive trance,1249
1222,alternative dance,54
62,rap,2880
1056,soft rock,1396
609,soul,4480
1085,adult contemporary,868
57,chillout,339
34199,sonic seducer cold hands vi,1
1498,trip hop,1346
19,pop,21043
34674,hillbilly,2
480,opera,256
564,alternative,5619
720,southern rock,697
1246,free jazz,350
75,folk,7076
1584,live,577
3754,00s,195
32867,classic pop vocals,156
27024,dance rock,23
33633,kinderchöre,1
166,experimental,7253
36469,fjord,1
33642,classic heavy metal,3
657,rnb,261
26,drum and bass,5577
359,production music,15854
127,blues,8831
5930,reggae-pop,75
267,reggae,3145
71,jazz,14362
25,industrial,6162
32977,cobles,1
1102,rapcore,68
1031,leftfield,1977
303,funk,2089
991,christmas,5118
92,metal,5349
221,ska punk,67
1393,musical,610
20,alternative rock,8940
709,psychedelic rock,2155
36770,the very best of,0
36836,we ll never stop living this way a ghostly primer,0
38646,dedicated to you vol 1,0
37020,classic thrash metal,0
37226,roll,0
37227,over,0
37228,will,0
37229,sims,0
37230,jarred,0
37231,swope,0
37232,joe,0
37233,ruggiero,0
37234,wyll,0
37235,simms,0
37236,jerome,0
37237,maffeo,0
37615,death by murder,0
37624,death by gun,0
38356,shwetabh sucks,0
38723,mega,0
40902,pzzqxnzt6snn_ekrngheoblbupu-,0
38930,piosenka poetycka muzyka autorska,0
39075,multiple ipi,0
39322,adam beyer,0
39524,billboard 1 hits,0
41012,funk / soul,0
41014,pop/rock,0
41021,club/dance,0
41023,contemporary pop/rock,0
41170,don't rate the va artist ffs what,0
41275,messed up tags,0
53977,stop using this for artist credits you are to lazy to look-up/make. ffs!,0
53978,"apparently people are unable to comprehend what ""various artists"" is",0
53979,tagmess,0
43886,another,0
44213,rock'n roll,0
44602,the cherry blues project,0
46540,hero rhymes with zero,0
48364,bay area thrash metal,0
48834,simon rattle,0
49418,50cents,0
50092,solipsism craig murphy ambient idm techno electronica soundtrack experimental drone,0
50548,breakout artists,0
57433,desperado,0
59048,grase,0
61215,full-booklets,0
61261,101 moments in music,0
