id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated
58111,f066710a-5019-3471-8a1e-cff1a42cf159,72660,991142,3,3,My One and Only Love,5489,337000,0,2011-05-16 18:08:20.288158+02
58116,e0e61abb-66a7-3722-8da7-e95661e64c85,72665,991142,8,8,Long Count,5489,358000,0,2011-05-16 18:08:20.288158+02
58118,09118a26-3ce2-30d8-bf87-957eb9533a76,72667,991142,10,10,Ding Ding,5489,264000,0,2011-05-16 18:08:20.288158+02
271076,71e17553-70d3-3709-9681-976c8193ec2e,313855,77259,2,2,Walking Wounded (Spring Heel Jack dub),319,409440,0,2011-05-16 18:08:20.288158+02
476229,fa40f0fd-5a0c-370e-a9ae-eaaa556ee86e,547853,320679,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476240,ef74a5b6-0e62-35bc-8b4a-abb62c9099dd,547853,823517,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476251,98d23700-5a93-374a-ad5b-bd0f3fd882cd,547853,823526,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476232,7c9b6501-3075-34fe-8f9a-8ca277b402dd,547856,320679,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476243,b9d2f3fc-928b-3451-bc0c-40554e5e0115,547856,823517,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476254,7a428328-36c5-3aaa-ab01-678f634f417b,547856,823526,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476236,48a0c696-1263-3b73-a8c9-61eff505852c,547860,320679,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476247,10617cae-e477-39b2-b4bf-7c2992ad1b1e,547860,823517,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476258,315a63d0-43c9-3715-8eb3-3a431e1250f2,547860,823526,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476237,61900f10-cd54-3e79-9049-ea2eaa4137fa,547861,320679,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
476248,06e33fa6-593a-3ea8-9e69-faf40f8661bf,547861,823517,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
476259,e8e89d04-2d34-3d61-a70a-3e88688f82dc,547861,823526,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
1340807,8c08cd1a-81a6-3326-9ac1-493dad764cde,1583287,576610,7,7,내 안의 너,112011,282013,0,2011-05-16 18:08:20.288158+02
1340819,bca6afb2-3112-3c62-845f-2736c92e03fa,1583287,576611,7,7,내 안의 너,112011,282013,0,2011-05-16 18:08:20.288158+02
1420177,c4342d7a-b2e8-3fde-91f5-d02eb4fab1b1,1677163,327888,1,1,Rainy Day Women #12 & 35,965,219533,0,2011-05-16 18:08:20.288158+02
1420180,06748b10-33e4-3f3b-bea5-cc198b7d3125,1677166,327888,4,4,I Like Marijuana,126834,297226,0,2011-05-16 18:08:20.288158+02
1420184,f86bd77d-2dea-349b-9448-f4bc48cbc884,7078442,327888,8,8,Sweet Leaf,1151,304933,0,2012-09-14 22:07:30.174873+02
1482340,a2a7439e-f135-34c5-ac10-689ab4a98fa1,1750750,162,1,1,Some Things Are Better Left Unsaid,37921,328133,0,2011-05-16 18:08:20.288158+02
1482341,b9e0f227-8252-3cfc-ac2f-239487f2fb44,1172285,162,2,2,"Do What You Want, Be What You Are",37921,277693,0,2011-05-16 18:08:20.288158+02
1482348,33823f51-b04f-3a1c-b7bf-2614498a4a23,544042,162,9,9,Sara Smile,37921,189893,0,2011-05-16 18:08:20.288158+02
1482353,ab3288f4-4836-3f47-a5f8-21031c86458a,1750763,162,14,14,One on One (12'' version),37921,332000,0,2011-05-16 18:08:20.288158+02
1741016,50db1fee-f6ae-35af-9198-45bc63245a41,2069396,221485,1,1,I Want You (Vocal & Rhythm),962,305800,0,2011-05-16 18:08:20.288158+02
1741030,93d2f8a7-5ef3-3161-ae77-b917e010b38a,2069396,373548,1,1,I Want You (Vocal & Rhythm),962,305800,0,2011-05-16 18:08:20.288158+02
1741018,e0504a1a-6072-3217-90f6-7056371088c1,2069398,221485,3,3,After the Dance (instrumental),962,333866,0,2011-05-16 18:08:20.288158+02
1741032,58646f9e-14b7-3014-ab49-4b790eb01660,2069398,373548,3,3,After the Dance (instrumental),962,333866,0,2011-05-16 18:08:20.288158+02
1741019,da9f3eb7-1997-3ca4-836a-e8ed83def7be,2069399,221485,4,4,Feel All My Love Inside (alternate),962,232413,0,2011-05-16 18:08:20.288158+02
1741033,64017cca-83ba-3c7c-b4c3-a4abcea94984,2069399,373548,4,4,Feel All My Love Inside (alternate),962,232413,0,2011-05-16 18:08:20.288158+02
1741021,b4bf4d7e-3b7f-3840-93dd-aae2b6a3004e,2069401,221485,6,6,I Want You (Guitar Jam),962,29013,0,2011-05-16 18:08:20.288158+02
1741035,4815a96f-9e77-3946-b9d9-9e66511ec0bb,2069401,373548,6,6,I Want You (Guitar Jam),962,29013,0,2011-05-16 18:08:20.288158+02
1741023,1c288e52-7591-3cf0-ac83-afea138ada2b,2069403,221485,8,8,Since I Had You (Long Time No See),962,256680,0,2011-05-16 18:08:20.288158+02
1741037,5d9450b1-36eb-3301-8774-635009f76672,2069403,373548,8,8,Since I Had You (Long Time No See),962,256680,0,2011-05-16 18:08:20.288158+02
1741024,414ebc16-1376-35c9-9dc1-a438dabb3c10,2069404,221485,9,9,Soon I'll Be Loving You Again (alternate),962,270186,0,2011-05-16 18:08:20.288158+02
1741038,cf7d6739-31f6-3de2-9725-8819d16d11ba,2069404,373548,9,9,Soon I'll Be Loving You Again (alternate),962,270186,0,2011-05-16 18:08:20.288158+02
1826506,7a074d57-cde3-3eeb-8e0b-fb56ee0de22a,2175908,1019020,1,1,Frisco Bay,58589,201693,0,2011-05-16 18:08:20.288158+02
1826508,d0e470b6-33b3-3801-8cba-50b26feea07d,2175910,1019020,3,3,One Life,58589,177333,0,2011-05-16 18:08:20.288158+02
1826510,76997415-ce4e-326b-a088-281be2bea123,2175912,1019020,5,5,Names,58589,178466,0,2011-05-16 18:08:20.288158+02
2423590,f7b08bad-ab54-30ed-a89c-e5456078f693,2899488,1037917,2,2,I Know It's Over,20422,234600,0,2011-05-16 18:08:20.288158+02
2423591,14b85123-90fe-34af-b635-d0ae5678d07a,2899489,1037917,3,3,"Never, Never, Never (Grande, Grande, Grande)",20422,246133,0,2011-05-16 18:08:20.288158+02
2423594,5fc4a93d-71f3-35b9-9750-708fd3e0b5cd,2899492,1037917,6,6,My Love,20422,340773,0,2011-05-16 18:08:20.288158+02
2423595,7747204f-e899-30a7-8074-2532ff8251ed,2899493,1037917,7,7,Everytime We Fall In Love,20422,246933,0,2011-05-16 18:08:20.288158+02
2553346,8accb967-e9bf-3421-8669-a4b7c8249b7b,3062917,683929,4,4,Viens ce soir,51778,203533,0,2011-05-16 18:08:20.288158+02
2553351,cab96935-e914-3a40-8bb4-7bcc4a1aa41c,11292275,683929,9,9,Un grand bonheur,51778,214093,0,2011-06-18 01:00:09.762692+02
2553352,c5556963-3742-3f14-a04c-cafd5d23d75b,3062923,683929,10,10,Nous irons à Sligo,51778,189173,0,2011-05-16 18:08:20.288158+02
2553354,c4fa569e-5ac3-3b6e-85d3-71c921f560bb,3062925,683929,12,12,Summertime,51778,227560,0,2011-05-16 18:08:20.288158+02
2553356,fa32b163-ffc5-34c4-a5db-c32e5efc140f,6946458,683929,14,14,La Musique au fond du cœur,51778,197066,0,2011-06-18 01:00:13.767122+02
2910077,03d89fcd-0ec5-3ce5-9f47-93ca84c24b3a,3501145,934230,3,3,Ram Jam Thank You Mam,11340,244867,0,2011-05-16 18:08:20.288158+02
3747925,5c75a6c8-c210-3f91-a1f5-b71130f9bde5,4554726,960349,3,3,Broch yng Nghod (Badger in the Bag),199457,,0,2011-05-16 18:08:20.288158+02
3747928,3d7df748-ac0b-34d9-b139-a52d221bbc88,4554729,960349,6,6,Llongau Matholwch (Matholwch's Ships),199457,,0,2011-05-16 18:08:20.288158+02
3747935,e9978b30-27ca-3965-8431-39eaf8fbd7c3,4554736,960349,13,13,Hudolaeth Llwyd (Enchantments of Llwyd),199457,,0,2011-05-16 18:08:20.288158+02
3747940,d19d9827-d667-316c-8231-3b1625e4b378,4554741,960349,18,18,Lledr Braf o Wymon (Fine Leather from Seaweed),199457,,0,2011-05-16 18:08:20.288158+02
3808815,784d3438-ba6d-3cca-806e-6534705e7468,4632432,269763,3,3,The Everlasting Grudge,212213,216000,0,2011-05-16 18:08:20.288158+02
3808816,1712782a-0ae2-3829-a8de-748cf45dabbc,4632433,269763,4,4,Push Away,212213,156000,0,2011-05-16 18:08:20.288158+02
3808822,5bd97329-bea4-3897-8f92-698432dd0fd1,4632439,269763,10,10,Nightmare of a Martyr,212213,269000,0,2011-05-16 18:08:20.288158+02
3808824,603ebc22-fb07-30c0-9702-51cc92f36abe,4632441,269763,12,12,The Ill Will,212213,323000,0,2011-05-16 18:08:20.288158+02
3879529,c4a72665-0daf-3fd6-9106-38623dc3ae91,4721876,380756,4,4,Fly Away,78207,460600,0,2011-05-16 18:08:20.288158+02
3879531,6aacc625-22c1-3951-add7-0a47b3a0cd90,4721878,380756,6,6,Egyptian Trip,78207,401893,0,2011-05-16 18:08:20.288158+02
3879532,79febb3d-77a6-3e0f-b09d-576de9d157ff,4721879,380756,7,7,Richi's Theme,78207,223666,0,2011-05-16 18:08:20.288158+02
3879534,b8b2d5ef-2da9-3192-9d4b-d8e762e54fd1,4721881,380756,9,9,Innocenti,78207,464733,0,2011-05-16 18:08:20.288158+02
4282225,7648a01e-d104-36f9-a778-23e8e49c44d3,5271170,98008,3,3,Soul of a Man,79302,300226,0,2011-05-16 18:08:20.288158+02
4820082,5a624344-1822-31e8-8695-c899f3be202c,5930378,161193,1,1,Stakkels Marguerite,187812,201826,0,2011-05-16 18:08:20.288158+02
4820088,dc9f6ae1-e087-314d-ae3d-5434ef933ad3,5930384,161193,7,7,Er du tovlig Trine,187812,193973,0,2011-05-16 18:08:20.288158+02
4820091,b81abf4a-2d83-367f-9563-f5567e95d332,5930387,161193,10,10,Jeg gi'r mit humør en gang lak,187812,205200,0,2011-05-16 18:08:20.288158+02
4820093,c8e99f7f-6ee8-3714-9a71-e024781d8af5,5930389,161193,12,12,I gør Dyveke til due,187812,192400,0,2011-05-16 18:08:20.288158+02
4820094,95d2ee8f-8ea6-3bd5-8f74-1306c84565f7,5930390,161193,13,13,Jeg har kun lige til skatten,187812,205333,0,2011-05-16 18:08:20.288158+02
4820101,9e0eb418-899a-3229-8149-88e6a08e62e2,5930397,161193,20,20,ABC visen,187812,203173,0,2011-05-16 18:08:20.288158+02
4820102,cd9abc03-c563-344e-8d9f-abf3adf3185e,5930398,161193,21,21,Hvorhen,187812,189866,0,2011-05-16 18:08:20.288158+02
4820121,d5174e10-ef18-3683-ba19-221c9d1d40a3,5930417,161195,1,1,Adrienne,187812,198893,0,2011-05-16 18:08:20.288158+02
4820126,9c469704-8146-393c-a57d-765778758869,5930422,161195,6,6,Een for lille og een for stor,187812,174533,0,2011-05-16 18:08:20.288158+02
4820128,e8970fac-02c9-3bda-b97f-f6b3810ff6f3,5930424,161195,8,8,Han fulgte mig hele vejen hjem,187812,187733,0,2011-05-16 18:08:20.288158+02
4820135,767169cc-fc32-3f1a-8f84-681400863fea,5930431,161195,15,15,Glemmer du,187812,193400,0,2011-05-16 18:08:20.288158+02
4820143,f10d055a-14e8-3201-88ee-842e0bd45d6c,5930439,161195,23,23,Det' naturen der kræver sin ret,187812,183466,0,2011-05-16 18:08:20.288158+02
4820144,3fc173d3-bae6-32db-b1fe-9555e068c1ce,5930440,161195,24,24,Man har så mange glæder,187812,198840,0,2011-05-16 18:08:20.288158+02
4861015,a25a0f38-bb7b-3b8b-ae35-9988ef7aa504,5977379,166628,2,2,Spawned by Evil,79977,201666,0,2011-05-16 18:08:20.288158+02
4861017,35ea106d-9730-3e43-8c8a-6cc288b1d3f7,2090902,166628,4,4,Dreams Shall Flesh,79977,319053,0,2011-05-16 18:08:20.288158+02
4861019,58904197-e6b3-3019-81e3-a0167b479da1,5977342,166628,6,6,Nightmare,79977,207413,0,2011-05-16 18:08:20.288158+02
5109712,7e2ef55b-6907-3583-87af-4acfe7c4e1ff,547853,221484,3,3,After the Dance (instrumental),962,265160,0,2011-05-16 18:08:20.288158+02
5109726,0d343f8d-3d2e-324b-8c80-e72f99669735,547853,373542,3,3,After the Dance (instrumental),962,265160,0,2011-05-16 18:08:20.288158+02
5109715,63976165-9695-3d7a-9abf-d20d7d131737,6257465,221484,6,6,I Want You (intro jam),962,19786,0,2011-05-16 18:08:20.288158+02
5109729,9fcc3af9-37f6-39d1-8dfd-5213a02ad688,6257465,373542,6,6,I Want You (intro jam),962,19786,0,2011-05-16 18:08:20.288158+02
5109719,0d789ee2-d346-3e45-b041-aed8be231336,6257469,221484,10,10,I Want You (intro jam),962,100786,0,2011-05-16 18:08:20.288158+02
5109733,9a87b0ba-32e7-3da4-a1b4-7c8c0d9671f5,6257469,373542,10,10,I Want You (intro jam),962,100786,0,2011-05-16 18:08:20.288158+02
5109720,6ce57801-3ea1-359f-9262-ccebd82f71a4,547861,221484,11,11,After the Dance (vocal),962,282546,0,2011-05-16 18:08:20.288158+02
5109734,06077a91-512d-3974-9767-b6e2fe75c654,547861,373542,11,11,After the Dance (vocal),962,282546,0,2011-05-16 18:08:20.288158+02
5664786,164a028d-31e5-3449-bce3-f9d90fa5a63c,6864075,260629,9,9,Room for Two,232365,228000,0,2011-05-16 18:08:20.288158+02
5664791,c5ed7974-8501-3621-be98-7ae2777ce06e,6864080,260629,14,14,Ten Seconds,206599,273000,0,2011-05-16 18:08:20.288158+02
5664795,7fb2eede-8594-3338-9af2-2d7f13ddeddb,6864084,260629,18,18,The Crestfallen,10971,227146,0,2011-05-16 18:08:20.288158+02
6112168,d16ab385-b68f-3ec6-91c8-255ac16a7ad6,7345344,312224,1,1,My New Hat,57588,478613,0,2011-05-16 18:08:20.288158+02
6112169,623eeacd-f059-367a-b3c8-d9b1a83e7201,7345345,312224,2,2,It Takes Two,57588,308186,0,2011-05-16 18:08:20.288158+02
6112170,d4bc44e9-ad4e-3a6d-9aca-eb4b74478954,7345346,312224,3,3,Comba N.3,57588,406013,0,2011-05-16 18:08:20.288158+02
6112172,09cedb28-f876-3d4c-89e3-89780e79fe0e,7345348,312224,5,5,"Love Theme From ""Spartacus""",57588,340893,0,2011-05-16 18:08:20.288158+02
6112175,5215678a-603a-330c-98a0-9d8fb88efce3,7345351,312224,8,8,The Jig Saw,57588,394720,0,2011-05-16 18:08:20.288158+02
6112176,8bd1a03d-c183-3d1a-8483-590c74401480,7345352,312224,9,9,Canter N.4,57588,438413,0,2011-05-16 18:08:20.288158+02
6112177,d3c534db-cc8a-37f5-8441-0a0c841d4e22,7345353,312224,10,10,One Of Many,57588,308200,0,2011-05-16 18:08:20.288158+02
6123732,934bf5ad-d8e3-3468-98fc-3ac3b3560eba,7358168,313356,1,1,"Symphony No. 12, BVN 318 ""Hélsingeborg""",471912,426493,0,2011-05-16 18:08:20.288158+02
6123733,83e7ff82-6ef7-378e-8fe6-0915f5bde3bf,7358169,313356,2,2,"Symphony No. 13, BVN 319 ""Undertro"": Ret hurtigt (Fairly Fast) -",471912,139693,0,2011-05-16 18:08:20.288158+02
6123737,03e57ea4-17f9-3ae3-92b1-efe010134f6b,7358173,313356,6,6,"Symphony No. 13, BVN 319 ""Undertro"": Samme tempo (vildt) (Same Tempo (Wildly)) -",471912,239440,0,2011-05-16 18:08:20.288158+02
6123745,5bd86b9c-5224-3e86-880a-be92d1b07d64,7358181,313356,14,14,"Symphony No. 14, BVN 336 ""Morgenen"": VI. ""Farmænd"" farer til kontoret (""Dads"" Rush to the Office)",471912,101866,0,2011-05-16 18:08:20.288158+02
6123746,996605f7-7700-3fd4-8dd8-7db871d7b0ee,7358182,313356,15,15,"Symphony No. 14, BVN 336 ""Morgenen"": VII. Sol og bøgeskov (Sun and Beech Forest)",471912,68160,0,2011-05-16 18:08:20.288158+02
7134498,a543f4c4-d8bf-3100-920d-f8aefaa39c16,8445962,439759,3,3,Non Abstract,157129,,0,2011-05-16 18:08:20.288158+02
7134499,17410d38-0879-3ceb-ae2a-1a5ee6c104c6,8445963,439759,4,4,Black Cat,157129,,0,2011-05-16 18:08:20.288158+02
7331999,14c1a237-5563-39c6-921d-7ceb674e67e1,8656596,463786,1,1,[untitled],222898,,0,2011-05-16 18:08:20.288158+02
7332000,50ccfe1f-ca6d-3dd8-bc3f-8849dff6e9a2,8656597,463786,2,2,[untitled],222898,,0,2011-05-16 18:08:20.288158+02
7332001,0ee79107-f075-3457-b096-09488cb093f2,8656598,463786,3,3,[untitled],222898,,0,2011-05-16 18:08:20.288158+02
7332002,4e8e4abb-8eb9-3673-b228-7468eec6e518,8656599,463786,4,4,[untitled],222898,,0,2011-05-16 18:08:20.288158+02
8378173,4c55e7ee-62a5-31d8-9fb7-d3542b5e9849,9789000,586791,9,9,Irresistible,645346,237000,0,2011-05-16 18:08:20.288158+02
8378175,48d900be-5238-3942-b185-d2ec140ae83e,9789002,586791,11,11,Better Days,356640,369000,0,2011-05-16 18:08:20.288158+02
8802792,1260cdff-cc71-34a7-a4d2-c53be8832570,10238870,856274,1,1,Intro,132349,27533,0,2011-05-16 18:08:20.288158+02
8802795,cc9a61b6-e046-3b4d-a260-d7c0ecbc4659,10238873,856274,4,4,Klovnen,132349,231186,0,2011-05-16 18:08:20.288158+02
8802797,87d3ce3b-466f-39ae-b9d7-9afee543e27e,10238875,856274,6,6,Danset natten lang,132349,187360,0,2011-05-16 18:08:20.288158+02
8802798,2f02921e-9d0e-3fad-af6f-f9b3b232aff5,10238876,856274,7,7,Engleleik,132349,191306,0,2011-05-16 18:08:20.288158+02
8802804,ea6357e6-1533-3428-a85f-7d6e77fe146e,10238882,856274,13,13,Someday My Prince Will Come,132349,97680,0,2011-05-16 18:08:20.288158+02
8877436,b6350f37-e631-3462-8680-7c5ec2d65c4a,10320239,632380,2,2,נכנסת לחיי,153623,,0,2011-05-16 18:08:20.288158+02
8877437,058f43b4-1ee7-38ac-a971-3cb7140ba427,10320240,632380,3,3,מעבר לנהר,153623,,0,2011-05-16 18:08:20.288158+02
8877442,a1f333c7-ba65-3855-839b-fbcec4964a22,10320245,632380,8,8,כרטיס ללונה פארק,153623,,0,2011-05-16 18:08:20.288158+02
8877446,ef2f625a-76a0-35d1-87e2-6c0236b38f38,10320249,632380,12,12,בינתיים רוקד,153623,,0,2011-05-16 18:08:20.288158+02
8942118,61fa51bd-640b-3853-886e-4b706929987a,10389427,640088,2,2,Balazalak (Rude remix),136847,223693,0,2011-05-16 18:08:20.288158+02
8942120,ac260b42-47d5-32cf-93ae-e2dc3dd7fba3,10389429,640088,4,4,Milaka Dub (David Bourguignon remix),136847,201626,0,2011-05-16 18:08:20.288158+02
8942122,90a6726a-c5b8-3140-99f7-bdd64f8a75ee,10389431,640088,6,6,Shoot The Singer (Rude remix),136847,195733,0,2011-05-16 18:08:20.288158+02
8942127,14badb82-55af-3d9a-886a-49d157c55ca6,10389436,640088,11,11,Ezin Ihesi Berlin (Where We Come From) (Rob Smith remix),136847,282533,0,2011-05-16 18:08:20.288158+02
9753192,967083db-6804-32e6-a4ea-640e5cda2530,11256903,715563,1,1,T.N.T.,94820,536000,0,2011-05-16 18:08:20.288158+02
9753193,7849f4d2-e557-3702-93db-11d9cfd5c599,11256904,715563,2,2,Pulse,94820,,0,2011-05-16 18:08:20.288158+02
9758225,984d435a-09b3-3d47-886e-5427330ff13c,11262543,851638,5,5,Set The Night On Fire,55290,260000,0,2011-05-16 18:08:20.288158+02
9758226,d9112c1e-ee45-3225-bb88-2664fde8b73d,11262544,851638,6,6,Envision,55290,212000,0,2011-05-16 18:08:20.288158+02
9959294,64a8a06e-6c19-3ee9-92dc-8d94b008c173,11485604,742104,1,1,Unity and Faith,60455,255000,0,2011-05-16 18:08:20.288158+02
9959301,7daec6a5-1543-38fc-8296-34d152df05c7,11485611,742104,8,8,All in the Dosis,60455,284000,0,2011-05-16 18:08:20.288158+02
9959307,9d03f5f7-c03c-312f-af8a-139325fdc8cd,11485628,742106,3,3,Unity and Faith,60455,250000,0,2011-05-16 18:08:20.288158+02
10109799,ff4ff326-61a5-3922-a71e-b281b76eee99,11653744,755916,8,8,Paranoia,754768,397000,0,2011-05-16 18:08:20.288158+02
10109802,d5dba612-c2b7-3b36-a605-7e6994e56743,11653747,755916,11,11,Teleportation Technology,754748,356000,0,2011-05-16 18:08:20.288158+02
10619225,20dae063-c890-3ec1-a657-42832ff64b2b,12215187,811003,5,5,Return of The Astronaut,707464,,0,2011-05-16 18:08:20.288158+02
10686839,148e009b-d4e3-354a-ac2b-f45b4113fc09,12290738,820157,3,3,Ole's Tanz,761525,96760,0,2011-05-16 18:08:20.288158+02
10686842,839711b7-3472-3da4-99c9-d98ba5b8cc2d,12290741,820157,6,6,Jetzt kommt die längst gewünschte Stunde,761525,161053,0,2011-05-16 18:08:20.288158+02
10686848,5657617e-5c94-3c30-a28a-dc8c92e902c6,12290747,820157,12,12,Ein Bauersmann aus Dithmarschen,761525,214133,0,2011-05-16 18:08:20.288158+02
10686851,a3ac8820-b16c-36e4-b249-068cfbce1c57,12290750,820157,15,15,"Lustig, lustig ihr lieben Brüder",761525,270813,0,2011-05-16 18:08:20.288158+02
10686855,793b4afe-56b5-3709-80d6-686710eccb97,12290754,820157,19,19,Ballade vom Schinderhannes,761525,313426,0,2011-05-16 18:08:20.288158+02
10686857,933a2d39-ffed-3b8e-b899-7769839b3f5f,12290756,820157,21,21,Die Taube,761525,218173,0,2011-05-16 18:08:20.288158+02
10686858,57531901-97ce-3a1f-a98c-0b03700ddc21,12290757,820157,22,22,The Games People Play,761525,244760,0,2011-05-16 18:08:20.288158+02
10686859,2a87fd94-a949-3561-8e6c-6317756a9edb,12290758,820157,23,23,"Die Stadt, die ich so geliebt",761525,214520,0,2011-05-16 18:08:20.288158+02
6931746,da0eaf41-35d0-37be-8166-256a4ce54362,8229877,415676,2,2,Bango (Shaun Baker remix),540528,303000,0,2011-06-14 21:38:59.909605+02
6931749,fe89d30f-b760-3f39-9324-7aca711aa424,8229880,415676,5,5,Ride on a White Train (feat. Trixi Delgado) (Like a Hurricane),102097,188000,0,2011-06-14 21:38:59.909605+02
